City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
lerwick,60.15,-1.15,51.8,93,0,9.17,GB,05-31-20
chalchihuites,23.48,-103.88,73.62,20,26,8.34,MX,05-31-20
liepaja,56.54,21.04,48.2,81,26,3.36,LV,05-31-20
tessalit,20.2,1.01,92.55,18,7,8.19,ML,05-31-20
mizdah,31.45,12.98,67.84,57,16,5.86,LY,05-31-20
dinguiraye,11.3,-10.72,73.62,86,100,3.11,GN,05-31-20
trairi,-3.28,-39.27,77.85,85,81,7.31,BR,05-31-20
gigmoto,13.78,124.39,83.84,73,100,6.04,PH,05-31-20
ahipara,-35.17,173.17,64.15,86,54,11.36,NZ,05-31-20
lastoursville,-0.81,12.73,73.04,94,96,2.04,GA,05-31-20
longyearbyen,78.22,15.64,35.6,93,75,14.99,SJ,05-31-20
ahuimanu,21.44,-157.84,91.4,43,90,11.41,US,05-31-20
batticaloa,7.71,81.69,81.75,80,100,2.28,LK,05-31-20
boke,10.94,-14.3,75.25,93,97,6.91,GN,05-31-20
faanui,-16.48,-151.75,80.82,79,19,14.14,PF,05-31-20
ewa beach,21.32,-158.01,86.0,48,20,11.41,US,05-31-20
vostok,46.49,135.88,69.75,49,10,4.07,RU,05-31-20
raton,36.9,-104.44,71.6,40,90,11.41,US,05-31-20
yabassi,4.46,9.97,82.4,88,75,1.12,CM,05-31-20
sorumsand,59.99,11.24,55.4,62,6,4.7,NO,05-31-20
tautira,-17.73,-149.15,86.0,66,20,9.17,PF,05-31-20
redmond,47.67,-122.12,61.0,85,91,4.41,US,05-31-20
sistranda,63.73,8.83,53.6,81,11,1.12,NO,05-31-20
kapuskasing,49.42,-82.43,55.4,40,75,4.7,CA,05-31-20
saquena,-4.67,-73.52,75.18,95,99,1.95,PE,05-31-20
ribeira grande,38.52,-28.7,62.1,78,67,19.24,PT,05-31-20
vila,42.03,-8.16,61.0,87,100,7.0,PT,05-31-20
gambela,8.25,34.58,73.06,68,75,3.69,ET,05-31-20
santos reyes nopala,16.11,-97.16,86.0,74,75,17.22,MX,05-31-20
vao,-22.67,167.48,72.0,74,47,12.68,NC,05-31-20
solnechnyy,50.72,136.63,58.91,79,99,4.43,RU,05-31-20
aklavik,68.22,-135.01,55.4,37,5,13.87,CA,05-31-20
muyezerskiy,63.93,31.65,42.1,74,87,3.11,RU,05-31-20
esso,55.93,158.7,40.12,81,94,2.53,RU,05-31-20
manta,-0.95,-80.73,78.8,78,40,6.93,EC,05-31-20
mattru,7.62,-11.83,74.37,98,99,1.14,SL,05-31-20
aden,12.78,45.04,91.76,64,88,9.91,YE,05-31-20
lengshuijiang,27.69,111.43,73.62,79,41,1.79,CN,05-31-20
faya,18.39,42.45,71.6,64,34,2.19,SA,05-31-20
cartagena,10.4,-75.51,84.2,79,40,11.41,CO,05-31-20
victoria,22.29,114.16,87.01,74,100,5.99,HK,05-31-20
yenagoa,4.92,6.26,76.23,96,76,3.8,NG,05-31-20
ostrovnoy,68.05,39.51,36.1,92,20,5.91,RU,05-31-20
boffa,10.17,-14.03,78.08,88,99,1.25,GN,05-31-20
viedma,-40.81,-63.0,46.9,73,56,4.41,AR,05-31-20
celestun,20.87,-90.4,75.65,91,100,13.24,MX,05-31-20
jiexiu,37.02,111.91,72.01,25,32,2.86,CN,05-31-20
yamada,39.47,141.95,70.2,58,58,9.55,JP,05-31-20
ambon,-3.7,128.18,82.62,80,46,12.15,ID,05-31-20
maarianhamina,60.1,19.93,48.2,76,1,6.93,AX,05-31-20
riberalta,-10.98,-66.1,74.21,94,77,1.28,BO,05-31-20
dubrovka,53.69,33.51,44.8,92,100,13.69,RU,05-31-20
dingle,11.0,122.67,85.26,71,84,7.25,PH,05-31-20
sept-iles,50.2,-66.38,50.0,66,75,11.41,CA,05-31-20
quesnel,53.0,-122.5,66.2,29,20,11.41,CA,05-31-20
basoko,1.24,23.62,72.0,93,100,4.14,CD,05-31-20
jinka,5.65,36.65,66.49,70,54,3.89,ET,05-31-20
taltal,-25.4,-70.48,59.4,80,1,1.39,CL,05-31-20
andenes,69.31,16.12,50.0,81,22,3.36,NO,05-31-20
cocobeach,1.0,9.58,78.22,86,100,6.11,GA,05-31-20
kirovskiy,45.09,133.51,69.49,52,37,9.19,RU,05-31-20
tezu,27.92,96.17,72.3,80,97,2.3,IN,05-31-20
nhulunbuy,-12.23,136.77,80.6,74,72,8.05,AU,05-31-20
diffa,13.32,12.61,88.0,31,16,5.21,NE,05-31-20
port blair,11.67,92.75,82.72,81,57,7.38,IN,05-31-20
erzin,36.96,36.2,66.99,82,77,3.11,TR,05-31-20
iquitos,-3.75,-73.25,78.8,88,40,3.36,PE,05-31-20
kabinda,-6.13,24.48,74.01,56,89,4.45,CD,05-31-20
bukachacha,52.98,116.92,53.64,49,6,4.9,RU,05-31-20
rajgir,25.03,85.42,85.46,61,0,7.54,IN,05-31-20
north bend,43.41,-124.22,61.0,63,75,23.04,US,05-31-20
erenhot,43.65,111.98,65.77,25,97,9.53,CN,05-31-20
anito,12.45,125.29,84.43,72,99,8.99,PH,05-31-20
zubova polyana,54.08,42.84,53.15,96,98,3.76,RU,05-31-20
the pas,53.83,-101.25,73.4,28,20,21.92,CA,05-31-20
kayes,14.0,-11.0,82.26,63,100,13.56,ML,05-31-20
chicama,-7.84,-79.15,69.39,78,39,7.92,PE,05-31-20
alyangula,-13.85,136.42,77.0,88,24,3.36,AU,05-31-20
matagami,49.75,-77.63,41.0,86,90,5.82,CA,05-31-20
hope,33.67,-93.59,84.99,35,70,1.99,US,05-31-20
menongue,-14.66,17.69,56.12,63,0,5.21,AO,05-31-20
roma,43.21,-75.46,55.4,43,1,12.75,US,05-31-20
asfi,32.3,-9.24,67.03,85,9,13.13,MA,05-31-20
warrnambool,-38.38,142.48,48.0,91,100,29.19,AU,05-31-20
dharchula,29.85,80.53,61.79,62,99,5.28,IN,05-31-20
jutai,-5.18,-68.9,75.45,93,56,0.6,BR,05-31-20
lichinga,-13.31,35.24,55.33,85,67,9.93,MZ,05-31-20
marzuq,14.4,46.47,80.82,41,100,3.42,YE,05-31-20
sorland,67.67,12.69,51.87,66,6,6.89,NO,05-31-20
christchurch,-43.53,172.63,55.0,87,90,12.75,NZ,05-31-20
camopi,3.17,-52.32,73.98,97,99,2.62,GF,05-31-20
manyana,-23.4,21.72,54.7,38,0,5.32,BW,05-31-20
ilabaya,-17.42,-70.51,59.47,71,28,1.79,PE,05-31-20
bilma,18.69,12.92,89.51,14,0,9.04,NE,05-31-20
yar-sale,66.83,70.83,35.4,91,78,11.45,RU,05-31-20
mercedes,-34.65,-59.43,53.01,68,23,1.99,AR,05-31-20
farah,32.5,62.5,69.42,20,0,5.37,AF,05-31-20
salalah,17.02,54.09,80.6,94,90,3.36,OM,05-31-20
ariquemes,-9.91,-63.04,74.57,96,74,1.74,BR,05-31-20
salinas,36.68,-121.66,64.4,63,1,13.87,US,05-31-20
ishigaki,24.34,124.16,80.6,100,75,2.24,JP,05-31-20
constantine,36.37,6.61,66.2,52,40,6.93,DZ,05-31-20
yankton,42.87,-97.4,78.8,54,1,23.04,US,05-31-20
ferme-neuve,46.7,-75.45,47.59,54,97,4.21,CA,05-31-20
boa vista,2.82,-60.67,82.4,74,40,5.82,BR,05-31-20
suruc,36.98,38.42,64.4,48,13,3.36,TR,05-31-20
te anau,-45.42,167.72,49.96,58,0,2.17,NZ,05-31-20
lapua,62.97,23.01,48.99,87,2,2.24,FI,05-31-20
comodoro rivadavia,-45.87,-67.5,44.6,87,0,5.3,AR,05-31-20
pangnirtung,66.15,-65.71,26.15,93,94,0.09,CA,05-31-20
petrolina de goias,-16.09,-49.34,68.0,59,37,4.7,BR,05-31-20
santo antonio do sudoeste,-26.07,-53.73,61.23,96,79,1.63,BR,05-31-20
ballarat,-37.57,143.85,48.0,83,100,4.0,AU,05-31-20
okahandja,-21.98,16.92,55.4,26,0,4.7,NA,05-31-20
port lincoln,-34.73,135.87,54.54,63,58,14.2,AU,05-31-20
nan,18.83,100.67,77.0,100,40,4.7,TH,05-31-20
kushiro,42.98,144.37,59.0,77,20,4.7,JP,05-31-20
huddersfield,53.65,-1.78,55.99,70,0,1.99,GB,05-31-20
jermuk,39.84,45.67,47.61,52,0,3.4,AM,05-31-20
guiratinga,-16.35,-53.76,67.78,67,16,3.71,BR,05-31-20
mackay,-21.15,149.2,73.0,88,0,4.7,AU,05-31-20
ibanda,-2.8,32.47,61.72,65,12,3.2,TZ,05-31-20
bago,17.34,96.48,78.8,94,40,2.24,MM,05-31-20
tabory,58.52,64.55,47.12,69,100,7.38,RU,05-31-20
loubomo,-4.2,12.67,72.59,96,100,2.64,CG,05-31-20
russell,32.35,-85.2,87.8,38,1,6.93,US,05-31-20
kropachevo,55.01,57.99,55.45,94,59,16.42,RU,05-31-20
tabas,33.6,56.92,87.8,14,40,6.93,IR,05-31-20
skjervoy,70.03,20.97,47.41,82,92,2.68,NO,05-31-20
sibolga,1.74,98.78,77.76,72,89,3.47,ID,05-31-20
anamur,36.08,32.84,65.66,49,1,11.83,TR,05-31-20
dukat,62.55,155.55,36.91,85,59,5.39,RU,05-31-20
jeremie,18.65,-74.12,80.58,71,50,2.59,HT,05-31-20
arkadelphia,34.12,-93.05,80.6,44,1,4.7,US,05-31-20
kalmunai,7.42,81.82,80.65,82,100,5.93,LK,05-31-20
esna,25.29,32.55,76.82,18,0,13.8,EG,05-31-20
jackson,42.42,-122.83,73.0,46,40,5.82,US,05-31-20
mezen,65.85,44.24,38.3,77,96,5.39,RU,05-31-20
korla,41.76,86.15,73.83,24,11,4.32,CN,05-31-20
asau,46.43,26.4,53.6,87,90,4.7,RO,05-31-20
egvekinot,66.32,-179.17,47.37,54,53,8.21,RU,05-31-20
bama,11.52,13.69,86.2,49,70,10.94,NG,05-31-20
abu dhabi,24.47,54.37,93.2,46,0,6.93,AE,05-31-20
beidao,34.57,105.89,65.12,67,39,3.09,CN,05-31-20
honiara,-9.43,159.95,87.8,70,20,3.36,SB,05-31-20
middleton,53.55,-2.2,59.0,65,1,1.01,GB,05-31-20
tukrah,32.53,20.58,66.9,73,49,4.18,LY,05-31-20
marystown,47.17,-55.15,50.99,94,99,13.87,CA,05-31-20
biltine,14.53,20.92,84.7,14,2,8.81,TD,05-31-20
sudak,44.85,34.97,59.56,74,86,7.81,UA,05-31-20
dibulla,11.27,-73.31,77.52,86,100,5.64,CO,05-31-20
barcelona,41.39,2.16,71.01,64,20,3.36,ES,05-31-20
puri,19.8,85.85,83.39,89,88,13.82,IN,05-31-20
grenada,37.19,-3.61,59.0,93,20,0.76,ES,05-31-20
coihaique,-45.58,-72.07,37.4,93,95,4.7,CL,05-31-20
shihezi,44.3,86.03,74.23,27,0,3.2,CN,05-31-20
kamenka,51.32,42.77,51.01,90,44,4.0,RU,05-31-20
broome,42.25,-75.83,54.0,43,20,10.29,US,05-31-20
pangody,65.85,74.49,36.01,81,3,13.69,RU,05-31-20
suntar,62.14,117.63,58.17,39,10,5.79,RU,05-31-20
atar,20.52,-13.05,84.69,20,82,3.65,MR,05-31-20
bone,51.97,12.14,54.0,67,0,7.36,DE,05-31-20
gizo,-8.1,156.84,84.78,71,66,6.49,SB,05-31-20
maniitsoq,65.42,-52.9,36.39,95,100,3.76,GL,05-31-20
coahuayana,18.73,-103.68,82.4,58,20,17.22,MX,05-31-20
kibondo,-3.59,30.72,58.57,83,94,2.51,TZ,05-31-20
abu zabad,12.35,29.25,84.78,16,2,6.85,SD,05-31-20
arlit,18.74,7.39,92.37,14,39,5.23,NE,05-31-20
mazatlan,23.22,-106.42,79.0,69,20,12.75,MX,05-31-20
rabaul,-4.2,152.17,83.28,72,8,1.05,PG,05-31-20
galesong,-5.32,119.37,75.2,94,20,2.24,ID,05-31-20
codrington,-38.27,141.97,48.15,73,100,26.75,AU,05-31-20
zhangye,38.93,100.45,64.62,27,47,5.26,CN,05-31-20
kawalu,-7.38,108.21,75.04,90,65,1.19,ID,05-31-20
hambantota,6.12,81.12,80.71,84,100,13.04,LK,05-31-20
amapa,1.0,-52.0,73.74,97,94,2.04,BR,05-31-20
santa cruz,-17.8,-63.17,73.4,73,75,4.7,BO,05-31-20
ketchikan,55.34,-131.65,51.8,87,90,14.99,US,05-31-20
bosaso,11.28,49.18,91.6,54,92,8.14,SO,05-31-20
bartica,6.4,-58.62,78.8,88,20,4.7,GY,05-31-20
caledon east,43.87,-79.87,57.99,41,75,2.24,CA,05-31-20
severo-yeniseyskiy,60.37,93.04,41.86,95,100,9.62,RU,05-31-20
maldonado,-34.67,-54.92,55.4,76,90,25.28,UY,05-31-20
valea argovei,44.35,26.78,57.99,48,59,4.0,RO,05-31-20
pokrovo-prigorodnoye,52.68,41.42,50.29,94,40,7.47,RU,05-31-20
bani,18.28,-70.33,84.0,79,2,1.99,DO,05-31-20
les cayes,18.2,-73.75,78.46,81,58,4.47,HT,05-31-20
conceicao do araguaia,-8.26,-49.26,74.73,78,19,1.7,BR,05-31-20
san policarpo,12.18,125.51,83.82,75,100,9.95,PH,05-31-20
juazeiro,-9.41,-40.5,76.15,68,50,13.44,BR,05-31-20
gewane,10.17,40.65,88.25,26,71,4.29,ET,05-31-20
hurricane,37.18,-113.29,93.2,9,1,13.87,US,05-31-20
grindavik,63.84,-22.43,42.8,87,75,11.41,IS,05-31-20
kismayo,-0.36,42.55,79.9,83,19,15.41,SO,05-31-20
pilar,-9.6,-35.96,77.0,94,75,3.36,BR,05-31-20
